SA2_NAME16,Population
Bendigo,14739
California Gully - Eaglehawk,13096
East Bendigo - Kennington,13883
Flora Hill - Spring Gully,9379
Kangaroo Flat - Golden Square,21189
Maiden Gully,5612
Strathfieldsaye,11023
White Hills - Ascot,14897
Bendigo Surrounds - South,8571
Castlemaine,11344
Castlemaine Surrounds,9295
Heathcote,5156
Kyneton,10558
Woodend,7989
Bendigo Surrounds - North,5020
Loddon,7272
Bannockburn,7955
Golden Plains - South,8242
Winchelsea,6673
Belmont,14938
Geelong,13534
Geelong West - Hamlyn Heights,21362
Highton,24579
Lara,21354
Leopold,13324
Newcomb - Moolap,15284
Newtown (Vic.),10299
North Geelong - Bell Park,15711
Charlemont,11854
Corio,18243
Grovedale,25814
Norlane,8946
Clifton Springs,17111
Lorne - Anglesea,6270
Portarlington,9926
Point Lonsdale - Queenscliff,5594
Torquay,25451
Ocean Grove - Barwon Heads,32036
Alexandra,6792
Euroa,6882
Kilmore - Broadford,15772
Mansfield (Vic.),10680
Nagambie,4633
Seymour,6575
Seymour Surrounds,4582
Upper Yarra Valley,244
Yea,4256
Benalla,10741
Benalla Surrounds,3795
Rutherglen,4055
Wangaratta,19960
Wangaratta Surrounds,9943
Beechworth,4911
Bright - Mount Beauty,8902
Chiltern - Indigo Valley,3199
Myrtleford,4695
Towong,6166
West Wodonga,15464
Yackandandah,5327
Baranduda - Leneva,13358
Wodonga,14872
Drouin,20531
Mount Baw Baw Region,6632
Trafalgar (Vic.),8448
Warragul,23775
Alps - East,0
Bairnsdale,15772
Bruthen - Omeo,8403
Lake King,0
Lakes Entrance,11180
Orbost,6696
Paynesville,6993
Foster,9439
French Island,143
Korumburra,9914
Leongatha,11556
Phillip Island,14069
Wilsons Promontory,15
Wonthaggi - Inverloch,27529
Churchill,11977
Moe - Newborough,17313
Morwell,14418
Yallourn North - Glengarry,4734
Traralgon - East,12126
Traralgon - West,16953
Alps - West,23
Longford - Loch Sport,4949
Maffra,14930
Rosedale,4869
Sale,15319
Yarram,5587
Brunswick East,13296
Brunswick West,14684
Pascoe Vale South,10413
Brunswick,26618
Coburg,27051
Alphington - Fairfield,9156
Thornbury,19177
Northcote,25611
Ascot Vale,15179
Flemington,9188
Moonee Ponds,16579
Essendon - Aberfeldie,16176
Essendon - East,12288
Carlton,18004
Docklands,16456
East Melbourne,4884
Flemington Racecourse,78
Kensington (Vic.),11000
Parkville,7462
South Yarra - West,6565
West Melbourne - Industrial,0
Melbourne,46780
North Melbourne,16582
Royal Botanic Gardens Victoria,0
Southbank,24155
West Melbourne,8014
Albert Park,16161
Elwood,14873
Port Melbourne,16376
St Kilda East,15989
Port Melbourne Industrial,2228
South Melbourne,11873
St Kilda,26505
Armadale,9369
Prahran - Windsor,19269
Toorak,13118
South Yarra,21725
Abbotsford,9502
Carlton North - Princes Hill,8150
Collingwood,9668
Fitzroy,10800
Fitzroy North,12962
Clifton Hill - Alphington,10272
Richmond,31900
Ashburton (Vic.),7947
Balwyn,16306
Balwyn North,21306
Camberwell,21270
Glen Iris - East,16880
Hawthorn East,16100
Kew East,6567
Surrey Hills (West) - Canterbury,15898
Hawthorn,22315
Kew,24911
Bulleen,11428
Doncaster,25661
Templestowe,17154
Templestowe Lower,14338
Doncaster East (North),15778
Doncaster East (South),15712
Blackburn,22317
Blackburn South,10943
Box Hill,23800
Box Hill North,18380
Burwood,12912
Burwood East,11088
Surrey Hills (East) - Mont Albert,10317
Beaumaris,14021
Brighton (Vic.),22906
Brighton East,16717
Cheltenham - Highett (West),12543
Hampton,18496
Sandringham - Black Rock,17494
Bentleigh - McKinnon,25454
Carnegie,18918
Caulfield - North,23039
Caulfield - South,18226
Elsternwick,12111
Hughesdale,7657
Murrumbeena,9538
Ormond - Glen Huntly,13409
Bentleigh East (North),16888
Bentleigh East (South),14111
Aspendale Gardens - Waterways,8909
Braeside,28
Carrum - Patterson Lakes,12169
Chelsea - Bonbeach,15351
Chelsea Heights,5373
Cheltenham - Highett (East),24538
Edithvale - Aspendale,13653
Mentone,13361
Moorabbin - Heatherton,9213
Moorabbin Airport,26
Mordialloc - Parkdale,21406
Malvern - Glen Iris,20542
Malvern East,22395
Bundoora - East,9834
Greensborough,20843
Heidelberg - Rosanna,16306
Heidelberg West,15273
Ivanhoe,12580
Ivanhoe East - Eaglemont,7808
Montmorency - Briar Hill,16633
Viewbank - Yallambie,18823
Watsonia,9248
Kingsbury,10758
Preston - East,21109
Preston - West,12758
Reservoir - East,27958
Reservoir - West,23,956
Eltham,23515
Hurstbridge,3541
Kinglake,4307
Panton Hill - St Andrews,5160
Plenty - Yarrambat,9432
Research - North Warrandyte,6966
Wattle Glen - Diamond Creek,14427
Bundoora - North,7485
Bundoora - West,6299
Mill Park - North,17310
Mill Park - South,11160
Thomastown,19976
Wallan,24665
Whittlesea,12328
Epping - East,13160
Epping - South,8078
Epping - West,12393
South Morang (North),12696
South Morang (South),12402
Wollert,28218
Doreen,27795
Lalor,23468
Mernda,24,198
Airport West,8291
Essendon Airport,14
Keilor,8537
Niddrie - Essendon West,7569
Strathmore,10180
Avondale Heights,12385
Keilor East,15188
Gisborne,14450
Macedon,3580
Riddells Creek,4537
Romsey,11084
Coburg North,8607
Fawkner,14179
Gowanbrae,3133
Hadfield,6373
Glenroy,23567
Oak Park,8100
Pascoe Vale,17461
Sunbury,13838
Diggers Rest,5836
Sunbury - South,15478
Sunbury - West,11141
Broadmeadows,13932
Campbellfield - Coolaroo,15870
Gladstone Park - Westmeadows,17983
Greenvale - Bulla,23512
Meadow Heights,14634
Melbourne Airport,130
Tullamarine,6511
Craigieburn - Central,7980
Craigieburn - North,12421
Craigieburn - South,22567
Mickleham - Yuroke,28541
Craigieburn - North West,10365
Craigieburn - West,13629
Roxburgh Park - Somerton,9501
Roxburgh Park - North,14951
Bayswater,12699
Knoxfield - Scoresby,16699
Lysterfield,6567
Rowville - Central,15455
Rowville - North,7806
Rowville - South,10389
Wantirna,14211
Wantirna South,17964
Boronia,23835
Ferntree Gully (North),14227
Ferntree Gully (South) - Upper Ferntree Gully,15342
The Basin,4313
Donvale - Park Orchards,16397
Warrandyte - Wonga Park,10086
Bayswater North,11833
Croydon Hills - Warranwood,18143
Ringwood,18962
Ringwood East,21247
Ringwood North,9660
Croydon - East,16205
Croydon - West,14198
Croydon South,4974
Forest Hill,10860
Mitcham (Vic.),17006
Nunawading,12593
Vermont,10987
Vermont South,12039
Belgrave - Selby,9985
Chirnside Park,12081
Healesville - Yarra Glen,14093
Kilsyth,10099
Lilydale - Coldstream,19900
Monbulk - Silvan,5794
Montrose,6959
Mooroolbark,23592
Mount Dandenong - Olinda,9639
Mount Evelyn,9802
Upwey - Tecoma,9727
Wandin - Seville,7947
Yarra Valley,16948
Emerald - Cockatoo,18734
Beaconsfield - Officer,25757
Bunyip - Garfield,10059
Koo Wee Rup,10808
Pakenham - North,23880
Pakenham - South,34030
Berwick - North,23063
Doveton,12158
Hallam,11571
Narre Warren North,8233
Endeavour Hills - North,12070
Endeavour Hills - South,13300
Narre Warren - North East,13491
Narre Warren - South West,14942
Berwick - South,30014
Cranbourne,21602
Cranbourne South,19713
Cranbourne West,22939
Lynbrook - Lyndhurst,18634
Pearcedale - Tooradin,8100
Narre Warren South (East),13162
Narre Warren South (West),16765
Clyde North - North,11693
Clyde North - South,17994
Cranbourne East,37903
Cranbourne North,25238
Hampton Park,26246
Clarinda - Oakleigh South,11492
Clayton South,13933
Dandenong,32094
Dingley Village,10553
Noble Park North,7462
Springvale,22616
Springvale South,12453
Noble Park - East,12855
Noble Park - West,19663
Keysborough,30650
Ashwood - Chadstone,20057
Glen Waverley - East,21737
Glen Waverley - West,21521
Mount Waverley - North,16289
Mount Waverley - South,19592
Mulgrave,20218
Oakleigh - Huntingdale,23537
Wheelers Hill,20680
Clayton,23589
Ardeer - Albion,7473
Cairnlea,10006
Delahey,8035
Keilor Downs,12983
Kings Park (Vic.),13836
St Albans - North,20318
St Albans - South,17119
Sunshine,9620
Sunshine North,11982
Sunshine West,18294
Sydenham,11596
Taylors Lakes,16764
Deer Park - Derrimut,26696
Derrimut,8719
Altona,13720
Altona Meadows,18347
Altona North,15059
Newport,18947
Seabrook,4864
Williamstown,16171
Braybrook,19521
Footscray,18108
Maribyrnong,12895
Seddon - Kingsville,9366
West Footscray - Tottenham,11986
Yarraville,15650
Bacchus Marsh,25615
Melton West,21834
Rockbank - Mount Cottrell,22941
Taylors Hill,19874
Burnside,6014
Burnside Heights,6353
Caroline Springs,20684
Brookfield,9967
Cobblebank - Strathtulloh,8867
Eynesbury - Exford,3130
Fraser Rise - Plumpton,12982
Hillside,16221
Kurunjang - Toolern Vale,11825
Melton,7905
Melton South,18722
Hoppers Crossing - North,18253
Hoppers Crossing - South,18497
Laverton,11879
Werribee - South,17460
Point Cook - East,20134
Point Cook - South,19657
Werribee - East,18804
Werribee - West,25516
Manor Lakes - Quandong,11425
Point Cook - North,24049
Tarneit,62597
Truganina,41119
Wyndham Vale,24430
Carrum Downs,22390
Frankston,23813
Frankston North,19596
Frankston South,18987
Langwarrin,25348
Seaford (Vic.),17478
Skye - Sandhurst,13466
Dromana,13561
Flinders,6045
Hastings - Somers,24063
Mount Eliza,18774
Mount Martha,19975
Point Nepean,19933
Rosebud - McCrae,22978
Somerville,18608
Mornington,25726
Ararat,8392
Ararat Surrounds,3189
Horsham,16930
Horsham Surrounds,3436
Nhill Region,6837
St Arnaud,3449
Stawell,8439
West Wimmera,2723
Yarriambiack,6374
Irymple,7765
Merbein,4932
Mildura Surrounds,3735
Red Cliffs,6103
Mildura - North,18124
Mildura - South,16557
Buloke,6122
Gannawarra,6627
Kerang,3899
Robinvale,3684
Swan Hill,11025
Swan Hill Surrounds,6517
Echuca,15622
Kyabram,10997
Lockington - Gunbower,3967
Rochester,3959
Rushworth,4158
Cobram,6495
Moira,2848
Numurkah,12505
Yarrawonga,8723
Mooroopna,8291
Shepparton - North,20102
Shepparton Surrounds - East,4026
Shepparton Surrounds - West,10378
Kialla,9472
Shepparton - South East,16464
Glenelg (Vic.),8869
